ID,Recommenders ID,circular/reciprocal,circular_score,Position Influence Score,Nodal Influence Score,Final Influence Score
0,"[218, 391]",,0.0,,,
1,"[412, 869, 233, 289]",,0.0,,,
2,"[582, 624, 592, 662, 469]",,0.0,,,
3,"[194, 122]",194,0.5,,,
4,"[763, 726, 589, 977, 950, 543, 30]",,0.0,,,
5,"[938, 338, 417, 932, 16]",,0.0,,,
6,"[232, 390]",,0.0,,,
7,"[149, 366, 376]",149,0.3333333333333333,,,
8,"[171, 687, 159]",,0.0,,,
9,"[102, 851, 123, 794, 684]",,0.0,,,
10,"[962, 955, 481]",,0.0,,,
11,"[586, 970]",970,0.5,,,
12,"[10, 202]",,0.0,,,
13,"[786, 987]",,0.0,,,
14,[837],,0.0,,,
15,"[748, 511, 993, 963, 445, 751]",,0.0,,,
16,"[277, 565]",,0.0,,,
17,"[475, 614, 404, 506]",,0.0,,,
18,"[328, 750, 306]",,0.0,,,
19,"[278, 671]",,0.0,,,
20,"[772, 943]",,0.0,,,
21,[459],,0.0,,,
22,"[570, 390, 211]",,0.0,,,
23,"[575, 332, 456]",,0.0,,,
24,"[292, 839, 377]",,0.0,,,
25,[165],,0.0,,,
26,[60],,0.0,,,
27,"[138, 332, 684]",,0.0,,,
28,"[213, 296, 329, 72]",,0.0,,,
29,"[951, 388, 312]",,0.0,,,
30,"[430, 152, 332, 215, 643]",,0.0,,,
31,"[641, 86, 40, 401, 251, 364]",,0.0,,,
32,"[666, 366, 193, 849, 305]",,0.0,,,
33,"[580, 797]",,0.0,,,
34,[756],,0.0,,,
35,"[788, 686, 708, 678, 268, 919, 295]",295,0.1428571428571428,,,
36,"[197, 62]",,0.0,,,
37,"[405, 413, 466]",,0.0,,,
38,"[834, 668, 469]",469,0.3333333333333333,,,
39,"[336, 925]",,0.0,,,
40,"[508, 770, 967, 656]",,0.0,,,
41,"[961, 414, 246, 329, 273, 917]",961,0.1666666666666666,,,
42,"[933, 458, 272, 832, 93]",,0.0,,,
43,"[675, 367, 602, 536, 229, 131]",,0.0,,,
44,"[213, 163, 433, 28, 762]",,0.0,,,
45,[623],,0.0,,,
