_id,id,Final_Influence_Score,Final_Fraud_Score,FraudScore,FraudDetected,FraudAnalysis,final_scores
66f89c83c3bd7872f4615d58,0,0.959894415,0.48,0.6,True,"Analysis: The resume and recommendation letter are consistent in portraying the individual as a dedicated, experienced, and innovative teacher with a strong commitment to education and student success. However, the resume lacks specific details about accomplishments, and some job titles and dates do not align perfectly with the recommendation letter.\n\nFraud Likelihood Score: 0.6",0.671957766
66f89c83c3bd7872f4615d59,1,0.517873561,0.0,0.0,False,"Analysis: The resume and recommendation letters show consistency in job titles, responsibilities, and skills, with no clear discrepancies or signs of fraud detected.\n\nFraud likelihood score: 0",0.20714942440000003
66f89c83c3bd7872f4615d5a,2,0.867657626,0.4,0.5,False,"The resume mentions working as a Fitness Supervisor in January 2014, but the recommendation letters refer to the individual's role as a Fitness Supervisor at Galter LifeCenter starting from 2010. This discrepancy raises concerns about the accuracy of the resume. The vague phrase ""Responsible for supervising and/or performing the day to day functions of the Fitness Specialists, Fitness Coaches, Interns, Fitness Consults and overall safety on the fitness floor"" in the resume leaves room for interpretation and lacks specificity. The inconsistent dates and vague responsibilities suggest a potential for fraud. Fraud likelihood score: 0.7.",0.5870630504000001
66f89c83c3bd7872f4615d5b,3,0.899172626,0.74,0.8,True,"Analysis: The resume shows inconsistencies in job titles (Accountant, QA/Mobile Software Tester, Procurement Specialist, Freight Planning Contact) and unclear responsibilities outlined, raising suspicions about the candidate's experience and skills. The recommendation letters do not specifically address the candidate's responsibilities or achievements, lacking concrete examples of their work performance.\n\nLikelihood of fraud: 0.8",0.8036690504
66f89c83c3bd7872f4615d5c,4,0.345089305,0.0,0.0,False,"Analysis: The resume and recommendation letters show consistency in job titles, responsibilities, and dates, with detailed descriptions of the tasks performed in each role. The recommendation letters provide specific examples of Virginia's skills and contributions, supporting the claims made in the resume. There are no vague or ambiguous statements that suggest potential fraud.\n\nFraud Likelihood Score: 0",0.138035722
66f89c83c3bd7872f4615d5d,5,0.31260733399999996,0.4,0.5,False,"Analysis: The resume and recommendation letters are consistent in terms of the job titles, responsibilities, and skills mentioned.\nLikelihood of fraud: 0\n\nSpecific vague or ambiguous phrases: None present in the resume or recommendation letters.",0.36504293359999995
66f89c83c3bd7872f4615d5e,6,0.901627782,0.48,0.6,True,"Analysis: The resume and recommendation letter align in terms of the individual's experience as an Organizer and Capacity Building Strategist in the civil rights and disability advocacy field, consistent roles and responsibilities across different positions, and high level of community involvement and leadership roles. However, some discrepancies could be flagged, such as the slightly different focus in the recommendation letter on crisis intervention by the Center Director compared to the resume's emphasis on case review and strategy development. The resume also lacks specific dates for certain positions, making it difficult to fully verify the individual's work history.\n\nLikelihood of Fraud: 0.6",0.6486511128000001
66f89c83c3bd7872f4615d5f,7,0.400302838,0.466666667,0.5,False,"Analysis: The resume presents a broad range of HR-related skills and experiences, but lacks specific details or quantifiable results for accomplishments. The recommendation letters provide consistent praise for the individual's HR expertise, accomplishments, and leadership qualities.\n\nLikelihood of Fraud: 0.2 - While the resume has a lack of quantifiable results and specific details, the recommendation letters provide consistent praise for the individual's capabilities, reducing the likelihood of fraud. However, the general nature of the resume and recommendation letters could be considered vague, but not necessarily indicative of fraud.",0.4401211354
66f89c83c3bd7872f4615d60,8,0.917811089,0.08,0.1,False,"Analysis: The resume and recommendation letters depict a consistent career trajectory with progressively responsible roles in higher education, focusing on curriculum design, instructional practices, technology integration, and faculty training. There are no glaring discrepancies or vague statements that stand out.\n\nFraud Likelihood Score: 0.1",0.4151244356
66f89c83c3bd7872f4615d61,9,0.842941745,0.4,0.5,False,"Analysis: The resume shows a consistent progression in job titles and responsibilities, with specific achievements and awards noted. The recommendation letters provide further context and commendations for the candidate's skills and performance, aligning with the information presented in the resume.\n\nFraud Likelihood Score: 0.1\n\nAmbiguous Phrases:\n- Vague statement: ""Enforced relief to the customers by reviewing the situation"" in the Senior Service Specialist role. It is unclear what enforcing relief entails, suggesting potential ambiguity.",0.5771766979999999
66f89c83c3bd7872f4615d62,10,0.39624179699999995,0.4,0.5,False,"Analysis: The resume highlights experience as an Operations Manager with responsibilities related to client service, risk mitigation, and compliance. The recommendation letters confirm the individual's expertise in managing teams, enhancing the client experience, and prioritizing compliance. \n\nHowever, the resume lacks specific achievements, quantifiable results, or detailed examples of successful projects. The recommendation letters, while praising the individual's skills, also do not provide concrete instances of their impact or success.\n\nFraud Likelihood Score: 0.3\n\nSpecific vague or ambiguous phrases include ""direct observation of their work"" in Recommendation 955, which lacks specific details or examples to support the claim of operational excellence. Additionally, the resume states ""Managed a team of seven client service professionals with a primary focus in delivering excellent client service, improving processes, and leveraging technology,"" which could be seen as vague without specific outcomes or examples of such improvements.",0.3984967188
66f89c83c3bd7872f4615d63,11,0.938582921,0.5,0.5,False,"Analysis: The job titles and responsibilities listed in the resume are consistent with the recommendation letter, highlighting a positive track record in customer service and banking operations.\n\nFraud likelihood score: 0.1\n\nSpecific vague or ambiguous phrases:\n1. ""Processed incoming daily reports"" - This statement in the Teller position is vague and lacks details about the nature of the reports or their significance.\n2. ""Responsible for making executive decisions regarding new customer relationships"" - The level of authority implied by this statement in the Banking Relationship Specialist role is vague and may require clarification to assess its validity.",0.6754331684
66f89c83c3bd7872f4615d64,12,0.38907491299999997,0.08,0.1,False,"Analysis: The resume and recommendation letter both consistently highlight the individual's experience in managing partner accounts in Healthcare IT and Banking sectors, with specific skills in project management, revenue management, and customer support. There are no clear discrepancies or inconsistencies in job titles, responsibilities, or dates mentioned.\n\nPotential vague or ambiguous phrases include ""Drive sales through Partners and Distributors"" in the Client Account Manager role and ""Increase Customer Profitability"" in the Relationship Manager role, as these statements could be more specific in detailing the actions taken to achieve these goals.\n\nFraud Likelihood Score: 0.1",0.20362996519999998
66f89c83c3bd7872f4615d65,13,0.40656401799999997,0.24,0.3,False,"Analysis: The resume outlines a consistent career in healthcare recruiting, with detailed responsibilities and achievements. The recommendation letters support the candidate's skills and experience in clinical staffing and client development. However, the resume lacks specific dates for each job position. The recommendation letters provide high praise but lack specific examples or details to corroborate the candidate's skills.\n\nFraud Likelihood Score: 0.3",0.3066256072
66f89c83c3bd7872f4615d66,14,0.946003148,0.0,0.0,False,"Analysis: The resume and recommendation letter show consistency in job titles, responsibilities, and accomplishments. No vague or ambiguous statements were identified, and the tone of both documents matches in terms of endorsing the individual's skills and achievements.\n\nLikelihood of fraud: 0.0",0.3784012592
66f89c83c3bd7872f4615d67,15,0.31716657400000003,0.16,0.2,False,"Analysis: The resume and recommendation letters show consistent details about the individual's responsibilities, achievements, and impact on financial performance, with no indications of discrepancies or inconsistencies. However, the generic nature of some recommendations could potentially indicate fraudulent activity.\n\nFraud likelihood score: 0.2",0.22286662960000003
66f89c83c3bd7872f4615d68,16,0.933284491,0.48,0.6,True,"Analysis: The resume shows consistency in job titles, dates, and responsibilities, with a clear progression in roles within the phlebotomy field. However, the recommendation letters mention the candidate's involvement in retail sales and international fishing markets, which is not reflected in the resume. The vague statements about weaknesses in sales techniques and a unique synergy in fishing markets raise red flags.\n\nFraud likelihood score: 0.6",0.6613137964
66f89c83c3bd7872f4615d69,17,0.38643204499999995,0.0,0.0,False,"Analysis: The resume and recommendation letter show consistent job titles, responsibilities, and dates, with no clear signs of fraud present.\nSpecific vague or ambiguous phrases: None identified.\nFraud likelihood score: 0",0.154572818
66f89c83c3bd7872f4615d6a,18,0.89205031,0.16,0.2,False,"Analysis: The resume and recommendation letters appear consistent in terms of job title, dates, responsibilities, and skills mentioned. However, the use of generic phrases like ""diligent and capable individual"" and ""talented Technical Support Analyst"" could be seen as vague or ambiguous. \n\nLikelihood of Fraud: 0.2",0.45282012400000005
66f89c83c3bd7872f4615d6b,19,0.38113580999999996,0.0,0.0,False,"Analysis: The resume and recommendation letter show consistency in job titles, dates, and responsibilities, with no clear discrepancies or signs of fraud.\nFraud likelihood score: 0",0.152454324
66f89c83c3bd7872f4615d6c,20,0.902308664,0.48,0.6,True,"Analysis: The resume and recommendation letter align well in terms of the skills and accomplishments highlighted by the individual. However, there are some vague statements in the recommendation letter, such as ""significant savings"" and ""enhanced departmental processes,"" which could be more specific. The resume also lacks specific quantifiable achievements, making it harder to verify the claimed successes.\n\nFraud Likelihood Score: 0.6",0.6489234656
66f89c83c3bd7872f4615d6d,21,0.923278384,0.64,0.8,True,"Analysis: The resume lists different job titles for the same time frame, lacks specific quantifiable achievements, and contains repetitive statements regarding responsibilities. The recommendation letter is vague and lacks specific examples of accomplishments or contributions.\n\nLikelihood of Fraud: 0.8",0.7533113536
66f89c83c3bd7872f4615d6e,22,0.882566637,0.4,0.5,False,"Analysis: The resume shows a consistent career path as a Domestic Violence Counselor Advocate, with a logical progression of roles and responsibilities aligned with the recommendation letter affirming the individual's dedication and skills in crisis intervention and support services. However, the specific agencies and locations are not mentioned in the recommendation letter, which could lead to potential discrepancies or vague information without verifying the actual employment details.\n\nFraud Likelihood Score: 0.5",0.5930266548
66f89c83c3bd7872f4615d6f,23,0.506710742,0.16,0.2,False,"Analysis: The resume and recommendation letters all align in terms of job titles, responsibilities, and achievements, showing consistency across the documents and supporting the individual's expertise in investment banking operations. However, the recommendation letters could be more specific in detailing the individual's contributions and accomplishments.\n\nPotential Fraud Alert: While there are no clear signs of fraud in the provided documents, the lack of specific details in the recommendation letters could raise some questions about the authenticity of the individual's achievements and contributions. It is recommended to request more detailed and specific information to validate the claims made in the resume. \n\nFraud Likelihood Score: 0.2",0.29868429679999997
66f89c83c3bd7872f4615d70,24,0.15764538900000002,0.08,0.1,False,Analysis: There are no significant discrepancies or inconsistencies in the resume and recommendation letters. The information provided is detailed and aligns well across both documents.\nFraud likelihood score: 0.1,0.11105815560000001
