First Job Title,Influence Score
Director of Applications,5
Medical Billing Specialist,3
Human Resource/ Finance Analyst,3
Radiological Control Technician,3
"Sleep Technologist, RPSGT",1
Organizer and Capacity Building Strategist,1
Management Consultant,3
Finance Director,5
Finance Accountant,1
Information Systems Specialist,3
Outside Machinist,1
Fitness Staff,1
Adjunct Instructor,5
VP of Information Technology,5
Family and Community Advocate,1
Platform Architect,1
Landscaper,1
Healthcare Customer Service Representative,1
Disability Advocate,1
"Director, Vendor Services and Compliance",5
Staffing Coordinator,5
Packaging Buyer/Research and Development Lead,4
HR Associate,2
Fitness Consultant,3
Night Warehouse Selector,5
Quality Control Inspector,5
Production Supervisor / Value Stream Leader,4
Child Advocate Manager,4
Banking Boot Camp Participant,1
Assistant to Managing Director,5
HR Executive,5
Employee Relations Consultant,3
Budget Finance Specialist Senior,4
Manager / Fitness Instructor,5
Aviation Supply Technician,3
Information Technology Coordinator,5
Registered Nurse Clinician II,1
IT Specialist Project Engineer,3
Adventure Run Coordinator,5
Library Educational Aide,1
INFORMATION TECHNOLOGY PROJECT MANAGER,4
Regional Banking District Manager Vice President,5
Secretary - Finance Division,1
Superintendent II,1
"Personal Trainer, Group Fitness Instructor",5
National Sales Manager,4
Program Assistant,2
Combat Marksmanship Trainer/ Primary Marksmanship Instructor,5
Managing Principal,4
Visual Arts Teacher,1
HR Personnel Assistant,2
Receiving Manager,4
Sales Associate,2
HR COORDINATOR,5
Investment Banking Summer Analyst,3
Senior Supply Sergeant,4
Operator,1
Summer Camp Counselor,1
Healthcare Administrator,1
Expressive Arts Program Leader,4
Finance Assistant,2
Territory Sales Consultant,3
General business management,1
Healthcare Effectiveness and Information Set Coordinator (HEDIS),5
Community Outreach Specialist,3
Information Technology Intern (Test Automation Engineer),1
Mortgage Banking Default Operations Specialist II,3
Desktop Support Engineer,2
Healthcare Administration Intern,1
Banking Center Manager,4
Care Coordinator,5
Paralegal,1
Staff Pharmacist,1
Administrative Coordinator,5
Research Assistant,2
Licensed United Healthcare Insurance Sales Agent,1
Sr. HR Generalist,1
Financial Institutions Examiner,1
Registered Nurse,1
Summer Analyst,3
Regional Recruiter,1
Sales & Service Associate,2
Recreation & Sports Coordinator,5
Financial Accountant,1
Director of Information Technology /Chief Technology Officer,5
Branch Chief Information Technology Specialist,5
Middle School Principal,4
Center Director/Head Start Family Advocate,5
HR & Safety Manager,4
Maintenance Mechanic,1
Executive Director,5
Member Services Representative,1
Floater/Teacher,1
Domestic Violence and Sexual Assault Advocate,1
Case Manager/Outreach Advocate,4
Sales & Trading Intern,1
Aircraft Sales,1
ADON (Assistant Director of Nursing),5
Personal Trainer,1
Medical Scribe,1
HR Assistant III,2
Administration Assistant,2
Field Nurse,1
Dealership Finance Manager,4
Information Technology Support Specialist Network Specialist ~ PC Technician IT Consultant Customer Engineer,3
Office Manager/Managing Director,5
Culinary Arts Instructor,5
Driver,1
Operations Research Analyst,3
Intervention Specialist Teacher of Math and Language Arts,3
Fitness Director,5
Senior Director of Business Operations - Healthcare,5
Information Technology and AWS Admin Intern,1
AVID Tutor,1
Corporate Administrator,1
Certified Personal Trainer and Group Fitness Instructor,5
Assistant Information Technology (IT) Director,5
Aviation Supply Specialists,3
HR Clerk,2
"Head, Information Technology and Information Center",5
Information Technology Manager,4
HR Representative,1
Healthcare Consulting Project Associate,2
Arts Educator,1
"Reading, Speech & Language Arts Teacher",1
Financial Aid Specialist,3
Maintenance Specialist/Technician,3
Hiring Manager/Recruiting Manager,4
Information Technology Supervisor,4
Lead Teller,4
Senior VP - Information Technology,5
Group Exercise Fitness Instructor,5
HR Generalist,1
HR Specialist/ Horizontal Engineer,3
Acting Grade 4 customer/brand,1
Co-Founder/Therapist and Teaching Artist,1
College Assistant,2
Information Technology Manager/Analyst,4
Cashier,1
Corporate Project Manager,4
Healthcare Administrator/Operational and Staff Reorg,1
Accountant I,1
Inside Account Manager,4
Patient Health Advocate,1
HR Director/Administrator,5
Licensed Practical Nurse- Step-down Unit,1
Information Technology Instructor,5
