Node,Community
773.0,0
322.0,0
282.0,0
205.0,0
299,0
283.0,0
322,0
496.0,0
790.0,0
749.0,0
75,0
407,0
103.0,0
259.0,0
850,0
122,0
648,0
862.0,0
580,0
186.0,0
342.0,0
726,0
804,0
606,0
950,0
857,0
791.0,0
215,0
497.0,0
543,0
217.0,0
650,0
763,0
194,0
381,0
487,0
676,0
820,0
428,0
33.0,0
997.0,0
381.0,0
205,0
892,0
122.0,0
791,0
776,0
606.0,0
808.0,0
841,0
797,0
47.0,0
889,0
850.0,0
893,0
543.0,0
327,0
710,0
384.0,0
581.0,0
310,0
487.0,0
301,0
430.0,0
930,0
821.0,0
66.0,0
384,0
435.0,0
137.0,0
997,0
643,0
181.0,0
909,0
430,0
435,0
749,0
342,0
30.0,0
267.0,0
407.0,0
387,0
790,0
403.0,0
858.0,0
256.0,0
301.0,0
707.0,0
228,0
909.0,0
615,0
54,0
623,0
726.0,0
965.0,0
255.0,0
629,0
505,0
30,0
387.0,0
723.0,0
572.0,0
403,0
52,0
950.0,0
426,0
820.0,0
782,0
479.0,0
33,0
782.0,0
889.0,0
75.0,0
707,0
804.0,0
802,0
497,0
214.0,0
841.0,0
871,0
648.0,0
615.0,0
652,0
496,0
349.0,0
802.0,0
542,0
977,0
589.0,0
269.0,0
710.0,0
428.0,0
228.0,0
346,0
256,0
127.0,0
4,0
771.0,0
431,0
127,0
46,0
533,0
52.0,0
572,0
46.0,0
3.0,0
773,0
4.0,0
589,0
194.0,0
214,0
327.0,0
771,0
299.0,0
47,0
629.0,0
426.0,0
45.0,0
479,0
3,0
505.0,0
763.0,0
255,0
310.0,0
92.0,0
92,0
723,0
862,0
217,0
152,0
776.0,0
455.0,0
796.0,0
650.0,0
581,0
857.0,0
977.0,0
103,0
533.0,0
307.0,0
259,0
283,0
137,0
893.0,0
267,0
580.0,0
346.0,0
542.0,0
796,0
652.0,0
965,0
282,0
797.0,0
963.0,0
315,0
66,0
525.0,1
465.0,1
760,1
74,1
69.0,1
119.0,1
744,1
750.0,1
767,1
560,1
328,1
215.0,1
979,1
742,1
524,1
400.0,1
541.0,1
894.0,1
574.0,1
279.0,1
875,1
898,1
121,1
872.0,1
866,1
988.0,1
328.0,1
281.0,1
206.0,1
918,1
654.0,1
82,1
220.0,1
775,1
121.0,1
353.0,1
590,1
359,1
701,1
34,1
236,1
767.0,1
730.0,1
761,1
265.0,1
236.0,1
494,1
434,1
898.0,1
913,1
117,1
227.0,1
979.0,1
545,1
894,1
520,1
761.0,1
369.0,1
677,1
76,1
265,1
735,1
56.0,1
704,1
735.0,1
705,1
206,1
988,1
468.0,1
792.0,1
756,1
730,1
347,1
199,1
18,1
195.0,1
96.0,1
483.0,1
162.0,1
162,1
112,1
541,1
494.0,1
434.0,1
495.0,1
262,1
76.0,1
314,1
775.0,1
798.0,1
306.0,1
483,1
728,1
875.0,1
421,1
96,1
704.0,1
74.0,1
244,1
34.0,1
716,1
182.0,1
756.0,1
744.0,1
854.0,1
69,1
854,1
552.0,1
421.0,1
880.0,1
117.0,1
312.0,1
353,1
594,1
248.0,1
495,1
584,1
928,1
754,1
560.0,1
29,1
886,1
754.0,1
114,1
425.0,1
760.0,1
262.0,1
18.0,1
574,1
973.0,1
182,1
524.0,1
728.0,1
388.0,1
545.0,1
347.0,1
467.0,1
886.0,1
119,1
594.0,1
199.0,1
741,1
244.0,1
312,1
520.0,1
973,1
999.0,1
716.0,1
548,1
741.0,1
901,1
468,1
918.0,1
552,1
82.0,1
951.0,1
778,1
425,1
620,1
400,1
579.0,1
913.0,1
227,1
951,1
507.0,1
279,1
620.0,1
220,1
56,1
183.0,1
522,1
359.0,1
880,1
465,1
467,1
872,1
742.0,1
705.0,1
579,1
999,1
369,1
522.0,1
901.0,1
928.0,1
67.0,1
183,1
750,1
388,1
306,1
798,1
590.0,1
29.0,1
248,1
949,1
792,1
100.0,2
184,2
638,2
382,2
789.0,2
556,2
368,2
260.0,2
717,2
729,2
368.0,2
280.0,2
646,2
529.0,2
927.0,2
911,2
399,2
926,2
314.0,2
5.0,2
232.0,2
79.0,2
680.0,2
938,2
638.0,2
320.0,2
77.0,2
964,2
700,2
336,2
293.0,2
534,2
729.0,2
829,2
184.0,2
170.0,2
600.0,2
80.0,2
89,2
540,2
77,2
424,2
280,2
325.0,2
39.0,2
645,2
719,2
104,2
564.0,2
939.0,2
829.0,2
700.0,2
830,2
534.0,2
874.0,2
931.0,2
49.0,2
474,2
39,2
325,2
600,2
747.0,2
646.0,2
964.0,2
420,2
925,2
420.0,2
779.0,2
211,2
731.0,2
493.0,2
565.0,2
556.0,2
161,2
789,2
100,2
22.0,2
570,2
874,2
690.0,2
720.0,2
780,2
134,2
113,2
957.0,2
926.0,2
731,2
971.0,2
176.0,2
390.0,2
104.0,2
427.0,2
490.0,2
927,2
537.0,2
230,2
923,2
925.0,2
858,2
597,2
79,2
348.0,2
932,2
873.0,2
113.0,2
911.0,2
230.0,2
680,2
478,2
478.0,2
158,2
340.0,2
340,2
5,2
94,2
649.0,2
604.0,2
424.0,2
64.0,2
64,2
720,2
192,2
6.0,2
463.0,2
22,2
537,2
540.0,2
938.0,2
431.0,2
529,2
932.0,2
178,2
390,2
338,2
930.0,2
417,2
840,2
942.0,2
49,2
320,2
758.0,2
232,2
260,2
971,2
176,2
161.0,2
87.0,2
719.0,2
758,2
463,2
830.0,2
6,2
114.0,2
604,2
277.0,2
383.0,2
570.0,2
490,2
399.0,2
87,2
16,2
178.0,2
126.0,2
597.0,2
864,2
80,2
336.0,2
382.0,2
747,2
263.0,2
134.0,2
554,2
192.0,2
873,2
645.0,2
554.0,2
427,2
170,2
779,2
717.0,2
263,2
780.0,2
864.0,2
957,2
931,2
94.0,2
293,2
417.0,2
338.0,2
923.0,2
649,2
835.0,3
667.0,3
530,3
258.0,3
188,3
99,3
203,3
404.0,3
980.0,3
140.0,3
783,3
226,3
934.0,3
511,3
510,3
703,3
848.0,3
882.0,3
882,3
838,3
769.0,3
107.0,3
502,3
203.0,3
663.0,3
129,3
191,3
531.0,3
887.0,3
547.0,3
976,3
673.0,3
577.0,3
209.0,3
844,3
445,3
191.0,3
998.0,3
848,3
271,3
475.0,3
300,3
887,3
377,3
551,3
663,3
156,3
350.0,3
389,3
436,3
714,3
98.0,3
286.0,3
333.0,3
45,3
567,3
379.0,3
614.0,3
839,3
298,3
17.0,3
153,3
783.0,3
879,3
748,3
24.0,3
318.0,3
15,3
350,3
673,3
132,3
209,3
276,3
440.0,3
838.0,3
660.0,3
934,3
198.0,3
547,3
506.0,3
106,3
452,3
502.0,3
379,3
480.0,3
174.0,3
697.0,3
198,3
377.0,3
333,3
516.0,3
174,3
884,3
623.0,3
551.0,3
324.0,3
482.0,3
828,3
101,3
634,3
98,3
298.0,3
952.0,3
440,3
99.0,3
480,3
511.0,3
819,3
634.0,3
751,3
531,3
614,3
561.0,3
577,3
286,3
963,3
993,3
516,3
17,3
437.0,3
475,3
714.0,3
129.0,3
24,3
15.0,3
769,3
998,3
324,3
626.0,3
819.0,3
300.0,3
753,3
980,3
101.0,3
976.0,3
993.0,3
318,3
884.0,3
471.0,3
879.0,3
266,3
991.0,3
929.0,3
667,3
106.0,3
530.0,3
500,3
276.0,3
189,3
991,3
445.0,3
143,3
748.0,3
692,3
660,3
557,3
226.0,3
189.0,3
689,3
567.0,3
929,3
482,3
500.0,3
839.0,3
753.0,3
697,3
404,3
437,3
510.0,3
266.0,3
844.0,3
389.0,3
685.0,3
692.0,3
292,3
258,3
54.0,3
506,3
452.0,3
143.0,3
751.0,3
107,3
689.0,3
153.0,3
471,3
676.0,3
292.0,3
828.0,3
156.0,3
271.0,3
626,3
535.0,4
360.0,4
959,4
860.0,4
712,4
745,4
411,4
418.0,4
462.0,4
212,4
851.0,4
523,4
245,4
456.0,4
396,4
643.0,4
335.0,4
360,4
317,4
335,4
278,4
745.0,4
374.0,4
9,4
177,4
88.0,4
12.0,4
123.0,4
409,4
793.0,4
405.0,4
539,4
684,4
160,4
610.0,4
345,4
575,4
1,4
527.0,4
859.0,4
888,4
257.0,4
37,4
472.0,4
128.0,4
175,4
257,4
517.0,4
784.0,4
473.0,4
642.0,4
9.0,4
1.0,4
466,4
135,4
128,4
443,4
793,4
19,4
481.0,4
651.0,4
559,4
948,4
10.0,4
88,4
23,4
405,4
202,4
481,4
888.0,4
393,4
902,4
611.0,4
202.0,4
818.0,4
175.0,4
332.0,4
23.0,4
970.0,4
818,4
535,4
527,4
472,4
102,4
586,4
345.0,4
800,4
233.0,4
517,4
859,4
948.0,4
642,4
413,4
784,4
448.0,4
138.0,4
12,4
869,4
409.0,4
135.0,4
794.0,4
462,4
499,4
233,4
860,4
212.0,4
755.0,4
187.0,4
442.0,4
27,4
10,4
944,4
289,4
544,4
123,4
443.0,4
764.0,4
853.0,4
19.0,4
553,4
586.0,4
11.0,4
55.0,4
412,4
559.0,4
706,4
800.0,4
962.0,4
959.0,4
27.0,4
499.0,4
794,4
332,4
372,4
448,4
37.0,4
466.0,4
473,4
488,4
160.0,4
764,4
671.0,4
374,4
550,4
701.0,4
488.0,4
651,4
962,4
550.0,4
164,4
456,4
442,4
610,4
544.0,4
177.0,4
671,4
523.0,4
970,4
393.0,4
575.0,4
187,4
138,4
164.0,4
955,4
412.0,4
902.0,4
712.0,4
684.0,4
809,4
809.0,4
706.0,4
372.0,4
539.0,4
713,4
11,4
851,4
553.0,4
411.0,4
396.0,4
413.0,4
317.0,4
807.0,4
102.0,4
807,4
245.0,4
55,4
611,4
289.0,4
955.0,4
853,4
702.0,5
679.0,5
344,5
108.0,5
363.0,5
811,5
811.0,5
573,5
914.0,5
339.0,5
450,5
115.0,5
14.0,5
984.0,5
905.0,5
179.0,5
73,5
986.0,5
528.0,5
585.0,5
